ot͡ɕikirʂu	unwilling or reluctant ; indolent, lazy
ot͡ɕin̪	Unknown
ot͡ɕin̪t̪on̪ie̯	unthinkable ; unimaginable
ot͡ɕin̪t̪on̪ie̯	Inconceivable ; incomprehensible
ot͡ɕin̪t̪it̪	unthought of ; un premeditated
ot͡ɕin̪t̪d͡zo	Inconceivable ; incomprehensible
ot͡ɕir	of short duration, brief
ot͡ɕirkari	prompt
ot͡ɕirkal̪	a very short time
ot͡ɕirkal̪e	soon, shortly ; without much delay
ot͡ɕirokrie̯	prompt in action or execution ; not dilatory
ot͡ɕird͡ʑibi	short-lived ; impermanent, transient
ot͡ɕiroprob̤a	a lightning
ot͡ɕiros̪ɦae̯i	not permanent ; transitory
ot͡ɕirat̪	soon ; without delay
ot͡ɕire	Soon ; in no time
ot͡ɕiɦn̪it̪	unmarked ; undistinguished
ot͡ɕurno	not pulverized ; unbroken
ot͡ɕet̪on̪	unconscious ; swooned, fainted
ot͡ɕet̪n̪o ɦoe̯a	to faint
ot͡ɕen̪a	unknown ; unfamiliar
ot͡ɕeʂto	unendeavouring, effortless ; not zealous
ot͡ɕeʂtit̪	unattempted ; un tried
ot͡ɕojt̪on̪d͡zo	unconscious ; swooned, fainted
ot͡ɕojt̪on̪d͡zo	unconscious ness ; ignorance
ot͡ɕt͡ɕʰo	transparent ; without impurities
ot͡ɕt͡ɕʰo	crystal
ot͡ɕt͡ɕʰod̪	uncovered ; open
ot͡ɕt͡ɕʰid̪ro	having no hole or opening ; free from defect or loophole
ot͡ɕt͡ɕʰin̪n̪o	not torn or cut ; not split up or divided
ot͡ɕt͡ɕʰin̪n̪ot̪bok	uncircumcised
ot͡ɕt͡ɕʰut̪	Untouchable
ot͡ɕt͡ɕʰut̪	untouchable ; unclean
ot͡ɕt͡ɕʰed̪d͡zo	incapable of being cleft or split ; inseparable
ot͡ɕt͡ɕʰod̪	having crystalline water
ot͡ɕt͡ɕʰod̪	a lake in the Himalayan region
ot͡ɕt͡ɕʰod̪potol̪	the cornea
ot͡ɕd͡zut̪	undislocated ; firm, steady
ot͡ɕd͡zut̪	Krishna ; Vishnu
ot͡ɕʰi	a guardian, a custodian ; a trustee
ot͡ɕʰie̯t̪on̪ama	a will
ot͡ɕʰil̪a	a pretext or plea ; an excuse
od͡ʑ	downright. thorough ; entire
od͡ʑ	the ram ; the billy-goat
od͡ʑɡor	a python or the boa constrictor
od͡ʑon̪ma	existing without being born
od͡ʑon̪ma	spiritual salvation ; failure of crops
od͡ʑpa	vital breath ; a goddess of the tantrists
od͡ʑo paɽaɡaঁ	a backward and remote village
